id_orden,fecha_orden,id_vendedor,id_producto,cantidad
1,27/01/2004,96,9117,1
2,27/01/2004,79,3353,3
3,27/01/2004,57,2778,2
4,27/01/2004,80,4774,2
5,27/01/2004,67,3648,2
6,27/01/2004,88,9523,3
7,27/01/2004,18,6358,3
8,27/01/2004,68,1417,2
9,1/01/2004,68,1567,2
10,1/01/2004,46,1298,1
11,1/01/2004,6,9990,1
12,1/01/2004,31,5130,3
13,1/01/2004,77,6127,1
14,1/01/2004,3,6376,2
15,1/01/2004,52,4936,3
16,1/01/2004,71,2926,3
17,17/01/2004,47,2834,2
18,17/01/2004,22,8078,3
19,17/01/2004,28,698,3
20,17/01/2004,68,5260,1
21,17/01/2004,42,1923,2
22,17/01/2004,16,8903,2
23,17/01/2004,50,642,1
24,17/01/2004,98,4578,1
25,17/01/2004,6,2383,3
26,28/01/2004,94,3753,3
27,28/01/2004,61,5126,3
28,28/01/2004,92,5317,1
29,28/01/2004,81,4377,3
30,28/01/2004,85,9309,3
31,9/01/2004,32,6879,1
32,9/01/2004,84,4402,3
33,9/01/2004,17,8293,1
34,9/01/2004,96,2290,3
35,11/01/2004,59,6574,3
36,11/01/2004,7,4396,3
37,11/01/2004,20,3985,3
38,11/01/2004,20,6843,3
39,11/01/2004,36,4825,1
40,11/01/2004,62,9503,3
41,5/01/2004,75,6196,1
42,5/01/2004,35,7861,1
43,5/01/2004,22,4471,1
44,5/01/2004,50,1876,1
45,18/01/2004,38,1032,1
46,18/01/2004,36,4955,3
47,18/01/2004,59,9848,3
48,18/01/2004,4,6845,2
49,18/01/2004,11,7498,2
50,18/01/2004,20,2942,1
51,18/01/2004,64,5845,1
52,18/01/2004,56,1524,3
53,18/01/2004,47,1255,3
54,6/01/2004,13,526,2
55,6/01/2004,77,1763,1
56,6/01/2004,47,7978,3
57,6/01/2004,96,6566,3
58,6/01/2004,18,6395,3
59,6/01/2004,50,935,1
60,6/01/2004,11,5203,1
61,6/01/2004,47,700,1
62,6/01/2004,38,4615,3
63,18/01/2004,3,10000,1
64,18/01/2004,76,8900,1
65,31/01/2004,62,42,3
66,19/01/2004,60,9131,3
67,19/01/2004,80,3591,2
68,19/01/2004,32,5795,2
69,19/01/2004,44,6874,1
70,17/01/2004,95,5770,3
71,17/01/2004,26,7479,2
72,17/01/2004,79,355,3
73,17/01/2004,25,8333,3
74,17/01/2004,31,8733,3
75,17/01/2004,40,9795,3
76,17/01/2004,93,9034,3
77,17/01/2004,48,6669,2
78,17/01/2004,97,1640,3
79,28/01/2004,96,6295,1
80,28/01/2004,13,7007,1
81,28/01/2004,62,3288,1
82,3/01/2004,33,5107,3
83,3/01/2004,70,2801,2
84,3/01/2004,77,7193,1
85,3/01/2004,48,4715,2
86,3/01/2004,24,9444,2
87,3/01/2004,11,3364,3
88,14/01/2004,20,8333,1
89,14/01/2004,53,6755,2
90,14/01/2004,90,4820,1
91,14/01/2004,40,7121,1
92,14/01/2004,32,6219,1
93,14/01/2004,9,4140,3
94,21/01/2004,13,6092,2
95,21/01/2004,30,7308,1
96,23/01/2004,21,6532,1
97,23/01/2004,46,5325,1
98,23/01/2004,24,2605,3
99,23/01/2004,27,6862,1
100,23/01/2004,48,1113,2
101,23/01/2004,65,5767,2
102,23/01/2004,70,6666,1
103,25/01/2004,26,9844,1
104,25/01/2004,64,8274,1
105,6/01/2004,38,7649,3
106,6/01/2004,52,1212,3
107,6/01/2004,87,3839,3
108,6/01/2004,37,9431,3
109,6/01/2004,52,8620,1
110,6/01/2004,92,7937,2
111,6/01/2004,49,2973,3
112,6/01/2004,35,9097,3
113,6/01/2004,74,4982,2
114,6/01/2004,79,4637,3
115,6/01/2004,48,4960,1
116,6/01/2004,64,1805,3
117,6/01/2004,83,7276,1
118,6/01/2004,25,6032,2
119,26/01/2004,37,4986,1
120,26/01/2004,72,1383,2
121,11/01/2004,56,8369,3
122,11/01/2004,14,4961,2
123,11/01/2004,87,3944,2
124,11/01/2004,32,6089,1
125,11/01/2004,59,1513,1
126,11/01/2004,73,1079,2
127,12/01/2004,27,4274,3
128,19/01/2004,94,4875,1
129,19/01/2004,28,8831,2
130,19/01/2004,62,5178,1
131,19/01/2004,77,5576,2
132,19/01/2004,4,8300,2
133,19/01/2004,38,2444,1
134,19/01/2004,55,7294,2
135,31/01/2004,100,4108,1
136,31/01/2004,44,7833,3
137,10/01/2004,83,492,2
138,10/01/2004,99,9865,3
139,10/01/2004,29,2109,2
140,10/01/2004,100,8652,1
141,10/01/2004,62,996,2
142,10/01/2004,77,3018,2
143,10/01/2004,85,8091,1
144,2/01/2004,82,6921,2
145,2/01/2004,24,1192,2
146,2/01/2004,75,5787,2
147,2/01/2004,42,5951,2
148,2/01/2004,32,3043,3
149,2/01/2004,14,4766,1
150,2/01/2004,95,6098,2
151,2/01/2004,74,6190,2
152,8/01/2004,98,9238,1
153,15/01/2004,21,3572,3
154,15/01/2004,46,3443,3
155,15/01/2004,85,6592,1
156,8/01/2004,9,3082,1
157,8/01/2004,13,1981,2
158,8/01/2004,95,1098,3
159,8/01/2004,21,7823,3
160,8/01/2004,12,2004,2
161,8/01/2004,11,3157,2
162,8/01/2004,78,2310,2
163,8/01/2004,31,5329,1
164,18/01/2004,93,3055,3
165,18/01/2004,19,2605,2
166,18/01/2004,48,5524,3
167,18/01/2004,78,6860,3
168,22/01/2004,29,5330,3
169,20/01/2004,54,3622,3
170,20/01/2004,45,8019,3
171,20/01/2004,30,1529,1
172,20/01/2004,71,636,3
173,6/01/2004,9,12,1
174,6/01/2004,72,3053,1
175,6/01/2004,28,6554,3
176,6/01/2004,39,1812,2
177,6/01/2004,90,6674,3
178,6/01/2004,59,6534,1
179,28/01/2004,92,8290,3
180,28/01/2004,4,9042,1
181,28/01/2004,86,3946,3
182,28/01/2004,23,8690,2
183,28/01/2004,36,7390,3
184,8/01/2004,55,4945,2
185,8/01/2004,98,9392,3
186,8/01/2004,90,8142,2
187,8/01/2004,17,6573,3
188,8/01/2004,94,9359,1
189,8/01/2004,82,8744,2
190,8/01/2004,62,6378,3
191,8/01/2004,37,7755,3
192,8/01/2004,18,2628,2
193,15/01/2004,99,8731,2
194,15/01/2004,39,4125,2
195,15/01/2004,40,5969,2
196,15/01/2004,29,5386,1
197,15/01/2004,68,5791,1
198,15/01/2004,25,7010,2
199,15/01/2004,100,8327,2
200,15/01/2004,76,1127,2
201,16/01/2004,55,6377,2
202,16/01/2004,43,1440,2
203,16/01/2004,51,2471,2
204,16/01/2004,7,175,3
205,18/01/2004,5,4774,3
206,18/01/2004,47,588,1
207,18/01/2004,15,6408,2
208,18/01/2004,49,2227,1
209,18/01/2004,28,6303,3
210,23/01/2004,28,9527,3
211,23/01/2004,6,8991,3
212,23/01/2004,33,3336,2
213,23/01/2004,45,2192,2
214,23/01/2004,93,9499,2
215,23/01/2004,36,8844,3
216,23/01/2004,94,1838,2
217,23/01/2004,14,7803,3
218,29/01/2004,29,3319,2
219,29/01/2004,75,5608,2
220,29/01/2004,64,6222,1
221,29/01/2004,73,4780,2
222,29/01/2004,58,6539,3
223,29/01/2004,86,2107,2
224,29/01/2004,77,8655,1
225,29/01/2004,64,3736,1
226,29/01/2004,44,6466,2
227,21/01/2004,75,5637,1
228,21/01/2004,27,190,2
229,21/01/2004,48,91,3
230,21/01/2004,35,6015,3
231,21/01/2004,34,8872,3
232,21/01/2004,90,1731,2
